,PLAN PLEIN CHAMP VERGER,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,Parcelle 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parcelle 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,,,42,,43,,44,,45,,46,,47,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ail 18/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,betteraves rouges,,,,feves,,,persil,,,,,  courgettes,,,,,,choux ,,,,deadon,,,,courgettes,,,,stanton,,,,odysseus,,,,,,,choux,,,choux rouge,,,,,,,,,,,,,,,,,,,épinards,,,,,carottes,,,,navets,,,radis,,,,,,,,,,,,,,,,
,,17/3,,,,16/3,,,fenouils,,,,,  patissons,,,,,,bruxelle,,,,brocoli,,,,17/7,,,,19/7,,,,celesta,,,,,,,frisés,,,choux fleurs,,,,,,,,,,,,,,,,,,,,le 17/3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,blettes,,,,,,,,10/5,,,,17/7,,,,,,,,,,,,belot ,,,,,,,28/7,,,choux verts,,,,,,,,,,,,,,,,,,navets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,navet,,,,,,fenouils,,,,avril,,,,,,,,,,,,,,,,,,,,,,,,médaillon,,,,,,,,,,2/4,,,,,,,,,,,,,,,,,,avril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,radis d'hiver,,,,,,aout,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/7,,,,,,,,,,,,,,,,,,,,,,,,,radis,,,,,celeri ,,,,,,,,,,,,celeri ,,,,,,,,,,,,,,,
,,fin aout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"compost 40 t hec + 1,5t 4/8/10+10/4/2",,,,,,,,,,,,,,,,,,,,radis d'hiver,,,,,,navets,,,hiver,,,radis,,rave,,,,,,,,,,,,branche,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8,,,,,,3/8,,,11/8,,,21/8,,10/6,,,,,,,,,,,,10/6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engrais vert le 26/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
