Espèce,Variété,Fournisseur,Remarque,Délai croissance plants (j),lieu,Date en terre,Localisation,Durée avant récolte (j),Longueur de rang de cette série (m),Date réalisation plants,Date réelle,Date début récolte,Mode de prélèvement,étalement récolte si pas SD (sem),Étalement récolte (sem),à ne pas faire,Date fin récolte,Fin livraison,Nb de séries,Longueur de  rang totale (m),Longueur de  rang par livraison (m),Intra rang (cm),Nombre de rangs retenus,Nb graines à semer par trou,Nombre de trous pour chaque série,Production théorique par trou (kg),Prod. de la série (kg),besoin hebdo (kg),Nb graines par gramme,Poids par graine (g),Nb graines par m,Nombre de graines,Poids de graines (g),Nb mottes/m,Nombre de mottes,Nb trous par plaque,NbPieds/m²,longueur de planche (m),Surface (m²),nb planches,Poids par pièce (g),Conso hebdo par distrib,unité,semaine prépa plants,N° semaine plantation ou semis,01/01/2018,08/01/2018,15/01/2018,22/01/2018,29/01/2018,05/02/2018,12/02/2018,19/02/2018,26/02/2018,05/03/2018,12/03/2018,19/03/2018,26/03/2018,02/04/2018,09/04/2018,16/04/2018,23/04/2018,30/04/2018,07/05/2018,14/05/2018,21/05/2018,28/05/2018,04/06/2018,11/06/2018,18/06/2018,25/06/2018,02/07/2018,09/07/2018,16/07/2018,23/07/2018,30/07/2018,06/08/2018,13/08/2018,20/08/2018,27/08/2018,03/09/2018,10/09/2018,17/09/2018,24/09/2018,01/10/2018,08/10/2018,15/10/2018,22/10/2018,29/10/2018,05/11/2018,12/11/2018,19/11/2018,26/11/2018,03/12/2018,10/12/2018,17/12/2018,24/12/2018,31/12/2018,07/01/2019,14/01/2019,21/01/2019,28/01/2019,04/02/2019,11/02/2019,18/02/2019,25/02/2019,04/03/2019,11/03/2019,18/03/2019,25/03/2019,01/04/2019,08/04/2019,15/04/2019,22/04/2019,29/04/2019,06/05/2019,13/05/2019,20/05/2019,27/05/2019,03/06/2019,10/06/2019,17/06/2019,24/06/2019,01/07/2019,08/07/2019,15/07/2019,22/07/2019,29/07/2019,05/08/2019,12/08/2019,19/08/2019,26/08/2019,02/09/2019,09/09/2019,16/09/2019,23/09/2019
Poireau,Atlanta,GERMINANCE,"d'abord ds pepinière 3x1,5m",100,CHAMP,11/07/2018,,120,"296,395891690009",02/04/2018,,08/11/2018,SD,,16,,28/02/2019,,1,"296,395891690009","18,5247432306256",12,2,1,"2469,96576408341","0,15","370,494864612511","5,9047619047619",400,"0,0025","9,25925925925926","2744,40640453712","6,8610160113428",0,0,0,"16,6666666666667","148,197945845005","177,837535014005","4,93993152816682",150,"17,7142857142857",kg,14,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
Chou rouge,rouge buscaro F1,AGROSEMENS,,30,CHAMP,01/07/2018,,115,"19,6825396825397",01/06/2018,,24/10/2018,SD,,2,,07/11/2018,,2,"39,3650793650793","9,84126984126983",50,2,1,"39,3650793650793","0,8","31,4920634920634","1,18095238095238",300,"0,00333333333333333","2,22222222222222","43,7389770723103","0,145796590241034","2,22222222222222","43,7389770723103",77,4,"9,84126984126983","11,8095238095238","0,328042328042328",800,"17,7142857142857",pièce,22,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,feuille de chêne blonde bawl verte,AGROSEMENS,,21,CHAMP,01/07/2018,,40,"14,234693877551",10/06/2018,,10/08/2018,SD,,"2,25",,24/08/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,23,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,P,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou de Bruxelles,Igor F1,AGROSEMENS,Semer en pépinière d'Avril à Juin. Repiquer en godet,30,CHAMP,15/07/2018,,200,"19,6825396825397",15/06/2018,,31/01/2019,SD,,2,,14/02/2019,,1,"19,6825396825397","9,84126984126983",50,2,1,"39,3650793650794","0,5","19,6825396825397","0,369047619047619",300,"0,00333333333333333","2,22222222222222","43,7389770723104","0,145796590241035","2,22222222222222","43,7389770723104",77,4,"9,84126984126985","11,8095238095238","0,328042328042328",20,"8,85714285714285",kg,24,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou de milan,gros des vertus ,AGROSEMENS,,42,CHAMP,15/07/2018,,110,"14,7619047619047",03/06/2018,,02/11/2018,SD,,"2,99999999999999",,16/11/2018,,1,"14,7619047619047","4,92063492063492",50,2,1,"29,5238095238094","0,8","23,6190476190475","0,442857142857142",300,"0,00333333333333333","2,22222222222222","32,8042328042326","0,109347442680775","2,22222222222222","32,8042328042326",77,4,"7,38095238095235","8,85714285714282","0,246031746031745",800,"8,85714285714285",pièce,22,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou fleur,Whiterock,AGROSEMENS,pour récolte de nov à avril,21,CHAMP,15/07/2018,,105,"9,84126984126983",24/06/2018,,28/10/2018,SD,,1,,04/11/2018,,4,"39,3650793650793","9,84126984126983",50,2,1,"19,6825396825397","0,6","11,8095238095238","0,885714285714285",550,"0,00181818181818182","2,22222222222222","21,8694885361551","0,039762706429373","2,22222222222222","21,8694885361551",77,4,"4,92063492063491","5,9047619047619","0,164021164021164",600,"17,7142857142857",pièce,25,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,reine de juillet,GERMINANCE,resiste chaleur,21,CHAMP,15/07/2018,,40,"14,234693877551",24/06/2018,,24/08/2018,SD,,"2,25",,07/09/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,25,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis noir,noir gros rond d'hiver,AGROSEMENS,,0,CHAMP,15/07/2018,,60,"15,3769841269841",,,13/09/2018,SD,,2,,27/09/2018,,4,"61,5079365079364","7,68849206349205",5,6,1,"307,539682539682","0,08","24,6031746031746","1,47619047619047",100,"0,01","22,2222222222222","341,710758377424","3,41710758377424",0,0,0,120,"2,56283068783068","3,07539682539682","0,0854276895943561",80,"8,85714285714285",kg,,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenouil,Romanesco,AGROSEMENS,,21,CHAMP,01/08/2018,,60,"9,84126984126982",11/07/2018,,30/09/2018,SD,,"0,999999999999999",,30/09/2018,,5,"49,2063492063491","9,84126984126983",25,4,1,"39,3650793650793","0,3","11,8095238095238","1,10714285714286",200,"0,005","4,44444444444444","43,7389770723103","0,218694885361551","4,44444444444444","43,7389770723103",77,16,"2,46031746031746","2,95238095238095","0,0820105820105818",300,"35,4285714285714",pièce,28,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,sucrine,GERMINANCE,ok secheresse,22,CHAMP,01/08/2018,,40,"14,234693877551",10/07/2018,,10/09/2018,SD,,"2,25",,24/09/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,28,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou brocoli,violet du cap,AGROSEMENS,,30,CHAMP,04/08/2018,,120,"6,22767857142855",05/07/2018,,02/12/2018,,3,3,,23/12/2018,,2,"12,4553571428571","4,15178571428571",50,2,1,"12,4553571428571","0,5","6,22767857142855","0,207589285714285",300,"0,00333333333333333","2,22222222222222","13,8392857142857","0,0461309523809522","2,22222222222222","13,8392857142857",77,4,"3,11383928571427","3,73660714285713","0,103794642857143",250,"13,2857142857143",pièce,27,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou chinois,Atsuko pe-tasai,AGROSEMENS,voiler,20,CHAMP,10/08/2018,,75,28,21/07/2018,,24/10/2018,SD,,"3,55645161290323",,14/11/2018,,4,"15,7460317460317","7,87301587301586",40,3,1,70,"0,8",56,"0,59047619047619",370,"0,0027027027027027","2,77777777777778","77,7777777777778","0,21021021021021","2,77777777777778","77,7777777777778",77,"7,5","9,33333333333333","11,2","0,311111111111111",800,"17,7142857142857",pièce,29,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,R,R,R,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis noir,noir gros rond d'hiver,AGROSEMENS,,0,CHAMP,10/08/2018,,60,"15,3769841269841",,,09/10/2018,SD,,2,,23/10/2018,,4,"61,5079365079364","7,68849206349205",5,6,1,"307,539682539682","0,08","24,6031746031746","1,47619047619047",100,"0,01","22,2222222222222","341,710758377424","3,41710758377424",0,0,0,120,"2,56283068783068","3,07539682539682","0,0854276895943561",80,"8,85714285714285",kg,,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,feuille de chêne blonde bawl verte,AGROSEMENS,,23,CHAMP,15/08/2018,,40,"14,234693877551",23/07/2018,,24/09/2018,SD,,"2,25",,08/10/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,30,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,reine de juillet,GERMINANCE,,24,CHAMP,01/09/2018,,40,"14,234693877551",08/08/2018,,11/10/2018,SD,,"2,25",,25/10/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,32,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis noir,noir gros rond d'hiver,AGROSEMENS,,0,CHAMP,01/09/2018,,60,"15,3769841269841",,,31/10/2018,SD,,2,,14/11/2018,,4,"61,5079365079364","7,68849206349205",5,6,1,"307,539682539682","0,08","24,6031746031746","1,47619047619047",100,"0,01","22,2222222222222","341,710758377424","3,41710758377424",0,0,0,120,"2,56283068783068","3,07539682539682","0,0854276895943561",80,"8,85714285714285",kg,,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,Pernot clair,AGROSEMENS,,0,CHAMP,11/09/2018,,28,"25,7439446366782",,,09/10/2018,SD,,"0,999999999999999",,09/10/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenouil,Wadenromen,AGROSEMENS,,30,SERRE,15/09/2018,,70,"9,84126984126982",16/08/2018,,24/11/2018,SD,,"0,999999999999999",,24/11/2018,,5,"49,2063492063491","9,84126984126983",25,4,1,"39,3650793650793","0,3","11,8095238095238","1,10714285714286",200,"0,005","4,44444444444444","43,7389770723103","0,218694885361551","4,44444444444444","43,7389770723103",77,16,"2,46031746031746","2,95238095238095","0,0820105820105818",300,"35,4285714285714",pièce,33,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,feuille de chêne rouge bawl,AGROSEMENS,,25,CHAMP,15/09/2018,,40,"14,234693877551",21/08/2018,,25/10/2018,SD,,"2,25",,08/11/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,34,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,R,R,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,Vit,AGROSEMENS,,30,SERRE,15/09/2018,,75,"37,9591836734693",16/08/2018,,29/11/2018,SD,,"1,14285714285714",,06/12/2018,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,33,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navet,Boule d'or,AGROSEMENS,,0,CHAMP,15/09/2018,,70,100,,,24/11/2018,SD,,"4,06451612903226",,22/12/2018,,6,"246,031746031746","24,6031746031746",5,6,1,2000,"0,05",100,"3,69047619047619",600,"0,00166666666666667",25,2500,"4,16666666666667",0,0,0,120,"16,6666666666667",20,"0,555555555555556",50,"17,7142857142857",kg,,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,R,R,R,R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis noir,noir gros rond d'hiver,AGROSEMENS,,0,CHAMP,15/09/2018,,60,"15,3769841269841",,,14/11/2018,SD,,2,,28/11/2018,,4,"61,5079365079364","7,68849206349205",5,6,1,"307,539682539682","0,08","24,6031746031746","1,47619047619047",100,"0,01","22,2222222222222","341,710758377424","3,41710758377424",0,0,0,120,"2,56283068783068","3,07539682539682","0,0854276895943561",80,"8,85714285714285",kg,,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,R,R,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,gaudry2,AGROSEMENS,,0,CHAMP,18/09/2018,,28,"25,7439446366782",,,16/10/2018,SD,,"0,999999999999999",,16/10/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou chinois,pak choi,AGROSEMENS,voiler,20,CHAMP,20/09/2018,,74,27,31/08/2018,,03/12/2018,SD,,"3,42943548387097",,24/12/2018,,4,"15,7460317460317","7,87301587301586",40,3,1,"67,5","0,8",54,"0,59047619047619",500,"0,002","2,77777777777778",75,"0,15","2,77777777777778",75,77,"7,5",9,"10,8","0,3",800,"17,7142857142857",pièce,35,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,R,R,R,R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,De 18 jours,AGROSEMENS,fin plein champ,0,CHAMP,26/09/2018,,28,"25,7439446366782",,,24/10/2018,SD,,"0,999999999999999",,24/10/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chou chinois,Atsuko pe-tasai,AGROSEMENS,voiler,20,CHAMP,30/09/2018,,75,28,10/09/2018,,14/12/2018,SD,,"3,55645161290323",,04/01/2019,,4,"15,7460317460317","7,87301587301586",40,3,1,70,"0,8",56,"0,59047619047619",370,"0,0027027027027027","2,77777777777778","77,7777777777778","0,21021021021021","2,77777777777778","77,7777777777778",77,"7,5","9,33333333333333","11,2","0,311111111111111",800,"17,7142857142857",pièce,37,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blette,charlotte rouge,AGROSEMENS,>19°€,32,SERRE,01/10/2018,,40,"24,6031746031746",30/08/2018,,10/11/2018,,12,12,,02/02/2019,,4,"98,4126984126983","9,84126984126983",40,3,1,"61,5079365079364","1,2","73,8095238095237","5,53571428571428",76,"0,0131578947368421","2,77777777777778","68,342151675485","0,899238837835329","2,77777777777778","68,342151675485",77,"7,5","8,20105820105819","9,84126984126983","0,27336860670194",60,"26,5714285714285",kg,35,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,R,R,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fèves,agadulce,GERMINANCE,à butter,0,SERRE,01/10/2018,,150,"17,4955908289242",,,28/02/2019,SD,,2,,14/03/2019,,2,"34,9911816578483","8,74779541446207",12,2,1,"145,796590241035","0,3","43,7389770723104","1,47619047619047","0,769230769230769","1,3","9,25925925925926","161,996211378927","210,595074792606",0,0,0,"16,6666666666667","8,74779541446208","10,4973544973545","0,291593180482069",10,"17,7142857142857",kg,,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,merveille des 4 saisons,GERMINANCE,,30,SERRE,01/10/2018,,36,"14,234693877551",01/09/2018,,06/11/2018,SD,,"2,25",,20/11/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,35,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,R,R,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâche,Verte de Cambrai,AGROSEMENS,10 séries ?,30,SERRE,01/10/2018,,90,"37,9591836734693",01/09/2018,,30/12/2018,SD,,"1,14285714285714",,06/01/2019,,7,"265,714285714285","33,2142857142857",15,6,5,"253,061224489795","0,05","12,6530612244898","1,47619047619047",1000,"0,001","37,037037037037","1405,89569160997","1,40589569160997","7,40740740740741","281,179138321995",77,40,"6,32653061224488","7,59183673469386","0,210884353741496",50,"8,85714285714285",kg,35,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radis rose,Pernot clair,AGROSEMENS,,0,SERRE,02/10/2018,,28,"25,7439446366782",,,30/10/2018,SD,,"0,999999999999999",,30/10/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ail,blanc messidor à commander,La bonne graine,ail de conservation,0,CHAMP,05/10/2018,,240,"31,0776942355889",,,02/06/2019,,1,1,,09/06/2019,,2,"62,1553884711779","6,21553884711779",15,6,1,"207,18462823726","0,08","16,5747702589808","0,59047619047619","0,05",20,"7,40740740740741","230,205142485844","4604,10284971688",0,0,77,40,"5,17961570593149","6,21553884711779","0,172653856864383",80,"35,4285714285714",pièce,,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,,,,,,,,,
Radis rose,gaudry2,AGROSEMENS,,0,SERRE,09/10/2018,,28,"25,7439446366782",,,06/11/2018,SD,,"0,999999999999999",,06/11/2018,,22,"566,36678200692","25,7439446366782",3,8,1,"858,131487889272","0,01","8,58131487889272","2,84166666666666",120,"0,00833333333333333","39,2156862745098","1009,56645634032","8,41305380283601",0,0,0,"266,666666666667","3,21799307958477","3,86159169550173","0,107266435986159",10,"6,19999999999999",kg,,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laitue,batavia florine,La bonne graine,,40,SERRE,10/10/2018,,45,"14,234693877551",31/08/2018,,24/11/2018,SD,,"2,25",,08/12/2018,,20,"284,69387755102","6,32653061224489",25,4,1,"56,938775510204","0,4","22,7755102040816","6,64285714285714",900,"0,00111111111111111","4,44444444444444","63,2653061224488","0,0702947845804987","4,44444444444444","63,2653061224488",77,16,"3,55867346938775","4,2704081632653","0,118622448979592",400,"17,7142857142857",pièce,35,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,P,-,-,-,-,-,-,R,R,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
